gi+__+aamiwaa (pf__+sf)	(2p’s 0) for C(n)C+A
gi+__+aamiwaa (pf__+sf)	(2p’s 3) for C(n)C+A
gi+__+amiwaa (pf__+sf)	(2p’s 0) for C(n)a+w
gi+__+amiwaa (pf__+sf)	(2p’s 3) for C(n)a+w
gi+__+aamiwaag (pf__+sf)	(2p’s 3p) for C(n)C+A
gi+__+amiwaag (pf__+sf)	(2p’s 3p) for C(n)a+w
gi+__+aamiwaan (pf__+sf)	(2p’s 0') for C(n)C+A
gi+__+aamiwaan (pf__+sf)	(2p’s 0p) for C(n)C+A
gi+__+aamiwaan (pf__+sf)	(2p’s 3') for C(n)C+A
gi+__+amiwaan (pf__+sf)	(2p’s 0') for C(n)a+w
gi+__+amiwaan (pf__+sf)	(2p’s 0p) for C(n)a+w
gi+__+amiwaan (pf__+sf)	(2p’s 3') for C(n)a+w
gi+__+iim (pf__+sf)	(2’s 0) for C(n)C+y
gi+__+iim (pf__+sf)	(2’s 0') for C(n)C+y
gi+__+iim (pf__+sf)	(2’s 3) for C(n)C+y
gi+__+im (pf__+sf)	(2’s 0) for C(n)(pt)C+
gi+__+im (pf__+sf)	(2’s 0') for C(n)(pt)C+
gi+__+im (pf__+sf)	(2’s 0) for C(n)C+
gi+__+im (pf__+sf)	(2’s 0') for C(n)C+
gi+__+im (pf__+sf)	(2’s 0) for C(n)Cy+ > Ci+
gi+__+im (pf__+sf)	(2’s 0') for C(n)Cy+ > Ci+
gi+__+im (pf__+sf)	(2’s 0) for C(n)i+w
gi+__+im (pf__+sf)	(2’s 0') for C(n)i+w
gi+__+im (pf__+sf)	(2’s 3) for C(n)(pt)C+
gi+__+im (pf__+sf)	(2’s 3) for C(n)C+
gi+__+im (pf__+sf)	(2’s 3) for C(n)Cy+ > Ci+
gi+__+im (pf__+sf)	(2’s 3) for C(n)i+w
gi+__+iimag (pf__+sf)	(2’s 3p) for C(n)C+y
gi+__+imag (pf__+sf)	(2’s 3p) for C(n)(pt)C+
gi+__+imag (pf__+sf)	(2’s 3p) for C(n)C+
gi+__+imag (pf__+sf)	(2’s 3p) for C(n)Cy+ > Ci+
gi+__+imag (pf__+sf)	(2’s 3p) for C(n)i+w
gi+__+iiman (pf__+sf)	(2’s 0p) for C(n)C+y
gi+__+iiman (pf__+sf)	(2’s 3') for C(n)C+y
gi+__+iman (pf__+sf)	(2’s 0p) for C(n)(pt)C+
gi+__+iman (pf__+sf)	(2’s 0p) for C(n)C+
gi+__+iman (pf__+sf)	(2’s 0p) for C(n)Cy+ > Ci+
gi+__+iman (pf__+sf)	(2’s 0p) for C(n)i+w
gi+__+iman (pf__+sf)	(2’s 3') for C(n)(pt)C+
gi+__+iman (pf__+sf)	(2’s 3') for C(n)C+
gi+__+iman (pf__+sf)	(2’s 3') for C(n)Cy+ > Ci+
gi+__+iman (pf__+sf)	(2’s 3') for C(n)i+w
gi+__+iiminaan (pf__+sf)	(21’s 0) for C(n)C+y
gi+__+iiminaan (pf__+sf)	(21’s 0') for C(n)C+y
gi+__+iiminaan (pf__+sf)	(21’s 3) for C(n)C+y
gi+__+iminaan (pf__+sf)	(21’s 0) for C(n)(pt)C+
gi+__+iminaan (pf__+sf)	(21’s 0') for C(n)(pt)C+
gi+__+iminaan (pf__+sf)	(21’s 0) for C(n)C+
gi+__+iminaan (pf__+sf)	(21’s 0') for C(n)C+
gi+__+iminaan (pf__+sf)	(21’s 0) for C(n)Cy+ > Ci+
gi+__+iminaan (pf__+sf)	(21’s 0') for C(n)Cy+ > Ci+
gi+__+iminaan (pf__+sf)	(21’s 0) for C(n)i+w
gi+__+iminaan (pf__+sf)	(21’s 0') for C(n)i+w
gi+__+iminaan (pf__+sf)	(21’s 3) for C(n)(pt)C+
gi+__+iminaan (pf__+sf)	(21’s 3) for C(n)C+
gi+__+iminaan (pf__+sf)	(21’s 3) for C(n)Cy+ > Ci+
gi+__+iminaan (pf__+sf)	(21’s 3) for C(n)i+w
gi+__+iiminaanig (pf__+sf)	(21’s 3p) for C(n)C+y
gi+__+iminaanig (pf__+sf)	(21’s 3p) for C(n)(pt)C+
gi+__+iminaanig (pf__+sf)	(21’s 3p) for C(n)C+
gi+__+iminaanig (pf__+sf)	(21’s 3p) for C(n)Cy+ > Ci+
gi+__+iminaanig (pf__+sf)	(21’s 3p) for C(n)i+w
gi+__+iiminaanin (pf__+sf)	(21’s 0p) for C(n)C+y
gi+__+iiminaanin (pf__+sf)	(21’s 3') for C(n)C+y
gi+__+iminaanin (pf__+sf)	(21’s 0p) for C(n)(pt)C+
gi+__+iminaanin (pf__+sf)	(21’s 0p) for C(n)C+
gi+__+iminaanin (pf__+sf)	(21’s 0p) for C(n)Cy+ > Ci+
gi+__+iminaanin (pf__+sf)	(21’s 0p) for C(n)i+w
gi+__+iminaanin (pf__+sf)	(21’s 3') for C(n)(pt)C+
gi+__+iminaanin (pf__+sf)	(21’s 3') for C(n)C+
gi+__+iminaanin (pf__+sf)	(21’s 3') for C(n)Cy+ > Ci+
gi+__+iminaanin (pf__+sf)	(21’s 3') for C(n)i+w
gi+__+iimiwaa (pf__+sf)	(2p’s 0) for C(n)C+y
gi+__+iimiwaa (pf__+sf)	(2p’s 3) for C(n)C+y
gi+__+imiwaa (pf__+sf)	(2p’s 0) for C(n)(pt)C+
gi+__+imiwaa (pf__+sf)	(2p’s 0) for C(n)C+
gi+__+imiwaa (pf__+sf)	(2p’s 0) for C(n)Cy+ > Ci+
gi+__+imiwaa (pf__+sf)	(2p’s 0) for C(n)i+w
gi+__+imiwaa (pf__+sf)	(2p’s 3) for C(n)(pt)C+
gi+__+imiwaa (pf__+sf)	(2p’s 3) for C(n)C+
gi+__+imiwaa (pf__+sf)	(2p’s 3) for C(n)Cy+ > Ci+
gi+__+imiwaa (pf__+sf)	(2p’s 3) for C(n)i+w
gi+__+iimiwaag (pf__+sf)	(2p’s 3p) for C(n)C+y
gi+__+imiwaag (pf__+sf)	(2p’s 3p) for C(n)(pt)C+
gi+__+imiwaag (pf__+sf)	(2p’s 3p) for C(n)C+
gi+__+imiwaag (pf__+sf)	(2p’s 3p) for C(n)Cy+ > Ci+
gi+__+imiwaag (pf__+sf)	(2p’s 3p) for C(n)i+w
gi+__+iimiwaan (pf__+sf)	(2p’s 0') for C(n)C+y
gi+__+iimiwaan (pf__+sf)	(2p’s 0p) for C(n)C+y
